Test Score,Memories
97,No
94,No
99,No
34,No
89,No
67,No
89,No
94,No
81,No
97,No
88,No
88,No
86,No
72,No
75,No
98,No
86,No
65,No
98,No
55,No
93,No
96,No
82,No
48,No
27,No
79,No
52,No
89,No
100,No
86,No
